transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,total_amount,week,weekday,transaction_hour
1,2023-01-01,07:06:11,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,2022-12-26/2023-01-01,Sunday,7
2,2023-01-01,07:08:56,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,2022-12-26/2023-01-01,Sunday,7
3,2023-01-01,07:14:04,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,2022-12-26/2023-01-01,Sunday,7
4,2023-01-01,07:20:24,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,2022-12-26/2023-01-01,Sunday,7
5,2023-01-01,07:22:41,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,2022-12-26/2023-01-01,Sunday,7
6,2023-01-01,07:22:41,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,2022-12-26/2023-01-01,Sunday,7
7,2023-01-01,07:25:49,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,2022-12-26/2023-01-01,Sunday,7
8,2023-01-01,07:33:34,2,5,Lower Manhattan,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0,2022-12-26/2023-01-01,Sunday,7
9,2023-01-01,07:39:13,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25,2022-12-26/2023-01-01,Sunday,7
10,2023-01-01,07:39:34,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,2022-12-26/2023-01-01,Sunday,7
11,2023-01-01,07:43:05,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2022-12-26/2023-01-01,Sunday,7
12,2023-01-01,07:44:35,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,2022-12-26/2023-01-01,Sunday,7
13,2023-01-01,07:45:51,1,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,3.0,2022-12-26/2023-01-01,Sunday,7
14,2023-01-01,07:48:19,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,2022-12-26/2023-01-01,Sunday,7
15,2023-01-01,07:52:36,2,5,Lower Manhattan,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro shot,6.0,2022-12-26/2023-01-01,Sunday,7
16,2023-01-01,07:59:58,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,2022-12-26/2023-01-01,Sunday,7
17,2023-01-01,07:59:58,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2022-12-26/2023-01-01,Sunday,7
18,2023-01-01,08:00:18,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,2022-12-26/2023-01-01,Sunday,8
19,2023-01-01,08:00:39,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,2022-12-26/2023-01-01,Sunday,8
20,2023-01-01,08:11:45,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,2022-12-26/2023-01-01,Sunday,8
21,2023-01-01,08:17:27,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,2022-12-26/2023-01-01,Sunday,8
22,2023-01-01,08:24:26,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,2022-12-26/2023-01-01,Sunday,8
23,2023-01-01,08:24:26,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2022-12-26/2023-01-01,Sunday,8
24,2023-01-01,08:29:38,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2022-12-26/2023-01-01,Sunday,8
25,2023-01-01,08:31:23,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75,2022-12-26/2023-01-01,Sunday,8
26,2023-01-01,08:33:08,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,2022-12-26/2023-01-01,Sunday,8
27,2023-01-01,08:33:08,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,2022-12-26/2023-01-01,Sunday,8
28,2023-01-01,08:35:03,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,2022-12-26/2023-01-01,Sunday,8
29,2023-01-01,08:35:03,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2022-12-26/2023-01-01,Sunday,8
30,2023-01-01,08:41:57,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2022-12-26/2023-01-01,Sunday,8
31,2023-01-01,08:52:03,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,2022-12-26/2023-01-01,Sunday,8
32,2023-01-01,08:52:32,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,2022-12-26/2023-01-01,Sunday,8
33,2023-01-01,08:54:33,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,2022-12-26/2023-01-01,Sunday,8
34,2023-01-01,08:56:27,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0,2022-12-26/2023-01-01,Sunday,8
35,2023-01-01,08:57:46,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2022-12-26/2023-01-01,Sunday,8
36,2023-01-01,08:58:55,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,2022-12-26/2023-01-01,Sunday,8
37,2023-01-01,09:00:12,1,5,Lower Manhattan,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4.0,2022-12-26/2023-01-01,Sunday,9
38,2023-01-01,09:00:24,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2022-12-26/2023-01-01,Sunday,9
39,2023-01-01,09:07:13,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,2022-12-26/2023-01-01,Sunday,9
40,2023-01-01,09:08:09,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,2022-12-26/2023-01-01,Sunday,9
41,2023-01-01,09:08:13,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,2022-12-26/2023-01-01,Sunday,9
42,2023-01-01,09:10:30,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,2022-12-26/2023-01-01,Sunday,9
43,2023-01-01,09:10:30,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,2022-12-26/2023-01-01,Sunday,9
44,2023-01-01,09:11:06,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,2022-12-26/2023-01-01,Sunday,9
45,2023-01-01,09:11:06,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,2022-12-26/2023-01-01,Sunday,9
46,2023-01-01,09:13:01,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,2022-12-26/2023-01-01,Sunday,9
47,2023-01-01,09:13:15,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,2022-12-26/2023-01-01,Sunday,9
48,2023-01-01,09:14:16,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,2022-12-26/2023-01-01,Sunday,9
49,2023-01-01,09:14:17,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2022-12-26/2023-01-01,Sunday,9
50,2023-01-01,09:14:25,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,2022-12-26/2023-01-01,Sunday,9
51,2023-01-01,09:14:41,1,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,3.0,2022-12-26/2023-01-01,Sunday,9
52,2023-01-01,09:15:09,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,2022-12-26/2023-01-01,Sunday,9
53,2023-01-01,09:15:13,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,2022-12-26/2023-01-01,Sunday,9
54,2023-01-01,09:19:21,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,2022-12-26/2023-01-01,Sunday,9
55,2023-01-01,09:19:26,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,2022-12-26/2023-01-01,Sunday,9
56,2023-01-01,09:21:08,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,2022-12-26/2023-01-01,Sunday,9
57,2023-01-01,09:22:17,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,2022-12-26/2023-01-01,Sunday,9
58,2023-01-01,09:22:46,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,2022-12-26/2023-01-01,Sunday,9
59,2023-01-01,09:29:56,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2022-12-26/2023-01-01,Sunday,9
60,2023-01-01,09:29:56,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2022-12-26/2023-01-01,Sunday,9
61,2023-01-01,09:29:57,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,2022-12-26/2023-01-01,Sunday,9
62,2023-01-01,09:34:17,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,2022-12-26/2023-01-01,Sunday,9
63,2023-01-01,09:40:13,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,2022-12-26/2023-01-01,Sunday,9
64,2023-01-01,09:41:22,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,2022-12-26/2023-01-01,Sunday,9
65,2023-01-01,09:41:22,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2022-12-26/2023-01-01,Sunday,9
66,2023-01-01,09:44:20,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,2022-12-26/2023-01-01,Sunday,9
67,2023-01-01,09:44:46,1,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,2022-12-26/2023-01-01,Sunday,9
68,2023-01-01,09:46:46,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,2022-12-26/2023-01-01,Sunday,9
69,2023-01-01,09:47:40,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2022-12-26/2023-01-01,Sunday,9
70,2023-01-01,09:50:44,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,2022-12-26/2023-01-01,Sunday,9
71,2023-01-01,09:50:44,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2022-12-26/2023-01-01,Sunday,9
72,2023-01-01,09:52:58,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,2022-12-26/2023-01-01,Sunday,9
73,2023-01-01,09:53:28,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,2022-12-26/2023-01-01,Sunday,9
74,2023-01-01,09:53:44,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2022-12-26/2023-01-01,Sunday,9
75,2023-01-01,09:53:44,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,2022-12-26/2023-01-01,Sunday,9
76,2023-01-01,09:53:49,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2022-12-26/2023-01-01,Sunday,9
77,2023-01-01,09:54:46,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2022-12-26/2023-01-01,Sunday,9
78,2023-01-01,09:55:16,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,2022-12-26/2023-01-01,Sunday,9
79,2023-01-01,09:56:30,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,2022-12-26/2023-01-01,Sunday,9
80,2023-01-01,10:00:39,2,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,2022-12-26/2023-01-01,Sunday,10
81,2023-01-01,10:03:55,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2022-12-26/2023-01-01,Sunday,10
82,2023-01-01,10:14:49,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,2022-12-26/2023-01-01,Sunday,10
83,2023-01-01,10:14:49,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2022-12-26/2023-01-01,Sunday,10
84,2023-01-01,10:16:30,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,2022-12-26/2023-01-01,Sunday,10
85,2023-01-01,10:16:33,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2022-12-26/2023-01-01,Sunday,10
86,2023-01-01,10:18:14,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,2022-12-26/2023-01-01,Sunday,10
87,2023-01-01,10:18:52,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,2022-12-26/2023-01-01,Sunday,10
88,2023-01-01,10:19:42,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,2022-12-26/2023-01-01,Sunday,10
89,2023-01-01,10:24:19,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,2022-12-26/2023-01-01,Sunday,10
90,2023-01-01,10:25:22,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,2022-12-26/2023-01-01,Sunday,10
91,2023-01-01,10:25:45,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,2022-12-26/2023-01-01,Sunday,10
92,2023-01-01,10:25:45,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2022-12-26/2023-01-01,Sunday,10
93,2023-01-01,10:27:48,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,2022-12-26/2023-01-01,Sunday,10
94,2023-01-01,10:30:07,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2022-12-26/2023-01-01,Sunday,10
95,2023-01-01,10:30:07,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25,2022-12-26/2023-01-01,Sunday,10
96,2023-01-01,10:35:47,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,2022-12-26/2023-01-01,Sunday,10
97,2023-01-01,10:41:53,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,2022-12-26/2023-01-01,Sunday,10
98,2023-01-01,10:47:53,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,2022-12-26/2023-01-01,Sunday,10
99,2023-01-01,10:49:13,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,2022-12-26/2023-01-01,Sunday,10
100,2023-01-01,10:49:51,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,2022-12-26/2023-01-01,Sunday,10
101,2023-01-01,10:51:17,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,2022-12-26/2023-01-01,Sunday,10
102,2023-01-01,10:52:44,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,2022-12-26/2023-01-01,Sunday,10
103,2023-01-01,10:52:44,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,2022-12-26/2023-01-01,Sunday,10
104,2023-01-01,10:56:14,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,2022-12-26/2023-01-01,Sunday,10
